date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
2000-11-01,1.3,,13877.7,50787.49,128887.4,,,,
2000-12-01,1.5,99214.6,14652.65,53147.15,132487.52,,,,
2001-01-01,1.19,,17018.98,54406.23,135685.99,,,,
2001-02-01,0.0,,14910.39,51997.68,134390.49,,,,
2001-03-01,0.8,23299.5,14362.12,53033.36,136915.12,,,,
2001-04-01,1.6,,14622.99,53261.32,138121.03,,,,
2001-05-01,1.7,,13942.28,52542.99,137219.27,,,,
2001-06-01,1.4,48950.9,13943.44,55187.36,141885.6,,,,
2001-07-01,1.5,,14071.62,53502.8,140076.48,,,,
2001-08-01,1.0,,14370.13,55808.92,143787.3,,,,
2001-09-01,-0.1,75818.2,15064.6,56824.0,151822.6,,,,
2001-10-01,0.2,,14484.61,56114.9,146157.58,,,,
2001-11-01,-0.3,,14780.0,56579.6,154088.3,,,,
2001-12-01,-0.3,109655.2,15688.8,59871.59,152888.5,,,,
2002-01-01,-1.0,,16727.06,60577.23,157853.45,,,,
2002-02-01,0.0,,16642.65,58703.97,159182.97,,,,
2002-03-01,-0.8,25375.7,15545.47,59475.67,162300.93,,,,
2002-04-01,-1.3,,15864.91,60462.04,162825.22,,,,
2002-05-01,-1.1,,15243.74,61247.53,164268.36,,,,
2002-06-01,-0.8,53341.0,15098.04,63144.69,167869.41,,,,
2002-07-01,-0.9,,15358.29,63488.41,169122.95,,,,
2002-08-01,-0.7,,15713.28,64869.5,171524.2,,,,
2002-09-01,-0.7,83056.7,16234.11,66800.29,175254.87,,,,
2002-10-01,-0.8,,16015.18,67100.77,175534.74,,,,
2002-11-01,-0.7,,16346.89,67993.28,178018.43,,,,
2002-12-01,-0.4,120332.7,17278.43,70882.19,183246.94,,,,
2003-01-01,0.39,,21245.12,72406.05,188918.38,,,,
2003-02-01,0.2,,17937.58,69757.05,188444.37,,,,
2003-03-01,0.92,28861.8,17106.89,71439.21,192832.44,,,,
2003-04-01,1.04,,17441.44,71321.54,194476.98,,,,
2003-05-01,0.66,,17115.34,72778.15,197811.96,,,,
2003-06-01,0.34,59868.9,16957.18,75923.52,203071.74,,,,
